GENE,cluster1,cluster2,cluster3,cluster4
GPR141,1.5982909384690338e-28,0.001264698453797021,0.9987353015462037,0.0
GPR151,0.9999712391434796,1.4216246697532045e-09,2.8759434895973302e-05,0.0
GPR162,1.2594446475716098e-80,0.005492613330633686,0.9945073866693661,0.0
GPR35,0.9853803388226207,1.0276645000167898e-06,0.01461863351287891,0.0
GPR37,9.246645188601423e-146,0.00897820455925486,0.9910217954407465,0.0
GPRC5C,2.092125868381809e-52,0.0002799706728657712,0.9997200293271337,0.0
GPX2,0.9999987095999526,5.540272234556061e-11,1.2903446447372934e-06,0.0
GPX3,4.6071384420490444e-07,6.702136675104759e-05,0.9999325179194049,0.0
GRHL3,9.589147637557225e-199,0.775593346709515,0.2244066532904834,0.0
GRID1,0.0,0.9999999999899778,1.0023327774997626e-11,0.0
GRIK2,2.2615302152941836e-259,0.977958733063535,0.02204126693646426,0.0
GRM1,1.5100522007471081e-116,0.000160525254628594,0.9998394747453718,0.0
GRM3,3.057286495912038e-91,0.0025340317551565024,0.9974659682448441,0.0
GRM4,0.0,1.0,5.915562728783713e-31,0.0
GSDMC,0.9999965669284158,1.6324524319949578e-10,3.432908338843981e-06,0.0
GUCY1A2,7.287505443129834e-111,0.0005146968346242768,0.9994853031653754,0.0
GUCY2D,9.397600205724874e-295,0.997776242565423,0.0022237574345765404,0.0
HAS2,8.431743690460444e-52,0.00030487759980018397,0.9996951224002006,0.0
HAS3,1.3530453885227265e-56,0.0010659748368080809,0.9989340251631924,0.0
HBEGF,0.030815311496549327,3.774983862500017e-05,0.969146938664825,0.0
HECW1,0.0,0.9897355495161765,0.010264450483822175,0.0
HENMT1,0.9768358278266799,1.2927139892438967e-06,0.02316287945933145,0.0
HERC5,5.819907323127866e-14,0.00011554135138428427,0.9998844586485575,0.0
HESX1,4.1117718574773517e-13,0.00022791020985619853,0.9997720897897323,0.0
HEY1,8.860369629162952e-116,0.02371428212792581,0.9762857178720739,0.0
HGF,5.972704477710357e-13,0.0008544262361528413,0.9991455737632503,0.0
HIVEP3,5.3111215890656904e-15,0.00012767298072757143,0.9998723270192674,0.0
HLX,0.0,1.0,1.878656649678245e-43,0.0
HMCN1,1.1014660061693039e-66,0.00023004803056340663,0.9997699519694369,0.0
HMCN2,4.1830804012145e-310,0.976832391492042,0.023167608507956575,0.0
HNF1B,0.0,1.0,4.931138060443583e-49,0.0
HNF4A,1.1401713204373364e-53,0.00028224761779536945,0.9997177523822037,0.0
HOGA1,0.9912443838884155,3.5490592106397615e-07,0.008755261205663065,0.0
HOXA1,0.0,8.847662231895643e-234,0.0,1.0
HOXB1,0.0,2.3763392278048542e-290,0.0,1.0
HPGD,8.657751633146501e-34,0.00029626890688512134,0.9997037310931146,0.0
HPGDS,0.9999900092636914,3.7179010336056837e-10,9.990364518575957e-06,0.0
HPSE2,0.0,0.0975881836796154,0.9024118163203831,0.0
HS3ST2,8.640803686106282e-143,0.01657842655734605,0.9834215734426527,0.0
HSD17B14,0.9999526219868071,2.3634328145128016e-09,4.7375649760221484e-05,0.0
HSF4,0.0,1.0,2.217754617448912e-20,0.0
HSPB8,7.353158119559968e-36,0.00030602077443114985,0.9996939792255682,0.0
ICAM1,1.3018830524811726e-82,0.011481354877816725,0.9885186451221839,0.0
IDUA,2.2255645173665448e-20,0.0030886253793297735,0.9969113746206708,0.0
IFI16,0.9266032113113036,4.326079416728278e-06,0.07339246260927927,0.0
IFIH1,0.9993926469058632,3.411563203459388e-08,0.000607318978504543,0.0
IFRD1,0.9999976991328139,1.008496526874786e-10,2.300766336415008e-06,0.0
IFT46,0.9999922358530267,5.752606245270159e-10,7.763571712585547e-06,0.0
IGDCC4,5.201022926468553e-84,0.0010224955608695802,0.9989775044391305,0.0
IGFBP5,1.1916517064643057e-198,0.49667017792142315,0.503329822078578,0.0
IGFBP6,7.717587643100204e-16,0.0006592391116999464,0.9993407608882999,0.0
IGSF10,0.9968357263960758,2.3992728252018834e-07,0.003164033676642053,0.0
IGSF21,0.0,1.0,5.211894123440906e-35,0.0
IKZF3,1.9130727215306024e-278,0.9995478978964794,0.0004521021035214687,0.0
IL11,2.30754e-318,0.9999873700921316,1.2629907868822631e-05,0.0
IL17B,2.87129984910406e-14,0.00012576017155494453,0.9998742398284164,0.0
IL1R1,0.25113240475323545,3.0111246968362133e-05,0.7488374839997958,0.0
IL6R,1.4924047552697517e-12,0.00016533268997383476,0.999834667308534,0.0
ILDR2,0.0,0.9915147021712738,0.008485297828727714,0.0
INA,1.2959502326422233e-233,0.004485350958077933,0.9955146490419223,0.0
INHBE,0.000749710681069723,5.5482989932272116e-05,0.9991948063289984,0.0
INO80,0.9999990614613895,3.847054810609557e-11,9.385001400528183e-07,0.0
INPP5D,9.748047147729735e-23,0.00024070304234258307,0.9997592969576573,0.0
IQCA1,5.337829282331244e-44,0.00013964311508927568,0.9998603568849114,0.0
IQCD,0.9999983722866728,5.920329483244013e-11,1.6276541240061966e-06,0.0
IQUB,1.9343297248311406e-12,5.812914048238608e-05,0.9999418708575831,0.0
IRX3,0.0,1.0,4.187488936317392e-20,0.0
IRX5,0.0,1.0,8.422043564990767e-27,0.0
ISG20,0.9998173780429178,9.844965363276637e-09,0.00018261211211669109,0.0
ISLR,1.465061528901387e-231,0.9999855871312199,1.4412868780859806e-05,0.0
ISLR2,0.0,0.9999999998892193,1.1078160468677662e-10,0.0
ISM1,6.954673832450257e-196,0.9976316916088371,0.0023683083911639822,0.0
ITGA9,9.5187735e-317,0.9885083231699603,0.011491676830039328,0.0
ITGB3,1.3114498022512483e-84,0.018441268008276307,0.9815587319917225,0.0
