,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
RPN2,0.170972571113001,0.451636144434775,0.36364740949896,0.68475468287425,0.214715019551917,0.351692464456981,0.427275414301861,0.285506515990984,0.540985674490055,0.234192043919431,0.562299393530106,1.29542521083149,0.604896868336627,0.389453127342425
MANBAL,0.0581946001928673,0.049573023753633,0.123248188285621,0.0211604365431261,0.0623623202658701,0.0867864185120049,0.0487309892550655,0,0.0491949306381756,0.145785514182417,0.0656135031060701,0.216678702600865,0,0.0548163054293468
SRC,0.108303546924981,0,0.135446717968401,0.0162670660286071,0,0.0220069632751551,0.021833396590539,0,0,0,0,0.0602693685118421,0.0385104225237532,0.0328196215682808
BLCAP,0.0851919838321575,0.136193389226887,0.161930696822582,0.0880842491947991,0.124914150079261,0.0801146945829875,0.138305633499586,0.221226026896495,0.205340116398819,0,0.0875605660259934,0.0388552024027344,0.0362742411980812,0.110634052651485
CTNNBL1,0.294872707882955,0.194248774073149,0.261672314252928,0.146893420671024,0.168494454559223,0.322277116419563,0.114655511080916,0.347128139885911,0.234256838805075,0.320963109875724,0.366703415386327,0.252581486610403,0.193274277506281,0.345393067041906
TTI1,0.00455644807379428,0.0367915902731166,0.0152831240977446,0.0220526509483623,0,0.00959601787851522,0.0395763124552017,0,0.0519867174456899,0,0.0516499063575448,0.0172013313219916,0.0384855596802623,0
RPRD1B,0.0246276595754962,0.0392536415774516,0,0.042856794419147,0,0.0198245878129029,0,0,0.0495951006647888,0,0.0554033569169679,0.0213241934172991,0.0366497886468258,0.0129841360550462
TGM2,0.0224301344200335,0,0.0156924532372119,0,0,0.0107296439435046,0.0706655118953892,0,0,0,0.0203567620673352,0,0,0.0130558645824693
RALGAPB,0.00916984323680242,0,0.0305007488399692,0.0224179589350697,0,0,0,0.0228052799344162,0.050766100113735,0,0.0169435164103906,0.0854493288961474,0,0.0265003943098878
ACTR5,0.00228499215854122,0.0280484810705632,0,0.0613453276520072,0,0.0123210537382188,0,0,0,0,0.0727582546189155,0.0234510968275749,0,0.020949974516858
PPP1R16B,0.0020218704823559,0.0585329490149346,0,0.0432613598938438,0.157285352624251,0,0.0613472755994585,0,0.0233719056566954,0.153042967148845,0.0493448393613506,0.0470288445340837,0,0
FAM83D,0,0,0,0,0,0,0,0.029036720242886,0,0,0,0,0,0
DHX35,0.00132937459103771,0,0,0,0,0,0,0,0,0,0,0.017116105074977,0,0
MAFB,1.65728105787453,0.00875802658034425,0.979670915936832,0.0167939077585778,0.0317915915701408,0.986160118838732,0.0270867489808981,0.0176757927701931,0.0561939567354796,0,0.0383878119962946,0.0213149779817946,0,0.0404601506197989
TOP1,0.316787816764371,0.122325749244041,0.31700591923921,0.193889256649963,0.220704951922766,0.320729565504676,0.0855303995330524,0.60882228098063,0.142660377790733,0.0854950168855389,0.267916330627752,0.412914740993649,0.182958290134309,0.197217467459261
PLCG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZHX3,0,0.00968729038148743,0.0173521666706024,0,0,0,0,0,0,0,0,0.0157200677408231,0,0
CHD6,0.0171081750533621,0.055113872915064,0.0454346567833067,0.0946055023053951,0.0318753881538908,0.0594187129843641,0.0719991368710307,0.106068075024124,0.0278954455190634,0.146717081220153,0,0.0769422216202279,0.0388122611755526,0.179548181321101
SRSF6,0.0676097683206348,0.159494887333095,0.195431683481814,0,0.0310312718839616,0.0274817245958778,0.0877535992034475,0.287951696588112,0.0990135921145016,0.150119543346868,0.388447814450928,0.206463125691469,0.0770013047456386,0.166212725456591
L3MBTL1,0.00155053670164007,0,0,0,0.031625876139628,0.0112737593836861,0,0.0556497357360788,0,0,0,0,0,0
IFT52,0.0351239821497865,0.0268187448880802,0.0713379567607641,0.0296909266370475,0.0286703859018669,0.0084858995147253,0.0597942794350526,0.0495741343522403,0.0212188645538463,0.0661156942523207,0.016364070984654,0.107496185015436,0.0402563871709944,0.0114078210858365
MYBL2,0,0,0,0,0,0,0,0,0,0,0,0.817291031647119,0,0
TOX2,0,0.0088914949589328,0,0,0,0,0,0.0291438531925177,0,0,0,0.0413169453467285,0,0
OSER1,0.438809222381811,0.273272353751212,0.390269930111179,0.180479711690315,0.424183113259211,0.376235425197801,0.38964050633201,1.11271922497703,0.122392708454298,0.145756307883701,0.163236451594763,0.154627933855293,0.481908084451219,0.686297176703462
OSER1-AS1,0.00726221440827114,0.019975866253861,0.0163466628982025,0.0392118666936475,0.0561356285997101,0,0.0622261567138331,0,0,0,0,0,0.0391337107107233,0
FITM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTPAL,0.0166323847477596,0.0207252037046736,0.037581545244161,0.0693359796087997,0.0314857843576556,0.0231506838491087,0,0.0456316452069257,0.0484668720240315,0.073853481403463,0.0196173661157029,0.0394950191993456,0.0400607131539642,0
SERINC3,0.113251193078013,0.209734768963848,0.236822276442623,0.143650417281225,0.12779467781162,0.239897562227616,0.0795069491502663,0.119374324747764,0.124888605999924,0,0.0863146061264768,0.176668181333163,0.0828012429790237,0.173008179133055
PKIG,0.00458660801512703,0.0100355233373129,0.0299788942888625,0.0191011176114383,0.0245334856033612,0,0.400618079601665,0,0.0827326545226034,0,0.053980449948845,0.022099921283192,0.428303868126393,0.0154263219900812
ADA,0.994565595555267,0.174525333976742,0.423425335291574,0.252724950877613,0.304292789709487,1.7300354324254,0.112723201535771,0.170625714925549,0.025760062604265,0.330026084646614,0.0947726825562155,0.245598532434275,0.172494424894351,0.782508936894551
RP11-445H22.3,0.0200771338287467,0.00897412241481626,0,0,0,0.0245408330185816,0,0,0.027085874032411,0,0,0,0,0.00963502800659067
KCNK15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YWHAB,1.18721779732527,0.979566207271516,1.37800893888412,0.698325425026638,0.957301537242864,1.26377711417697,1.0995876259866,1.22501592222772,0.853062374062084,0.847052528356816,1.07889669200114,1.20227321054037,0.88625255926325,0.778203006467264
PABPC1L,0.00268623733753022,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMM34,0.00818641633856619,0.00868250048479444,0.113962273786021,0.0413462905331225,0,0.0171509828267113,0.0613817445469081,0.0801941740905441,0,0,0.160018501044035,0.036401765946895,0,0.22372993728695
STK4,0.236913220322533,0.579132004191823,0.424600889577762,0.428518340531836,0.493759963325794,0.305535944909694,0.606565204898216,0.688660387583134,0.491674946825088,0.538012361983269,0.548256107287088,0.277193406910046,0.354923624196674,1.48368751802831
SLPI,0.00674169708297701,0,0,0,0,0.0233667629518457,0,0,0,0,0,0,0,0
SDC4,0.0121447811402308,0.00876457843425953,0.0382187128643486,0,0,0,0,0,0,0,0,0,0,0.0130558645824693
SYS1,0.0925517363609368,0.0700984677008788,0.129465386032322,0.0909043839390843,0.150358897981862,0.0719805478806652,0.0977469566553454,0.206208147922211,0.113519987265607,0,0.0549750917184677,0.0912025486848288,0.179165603106627,0.0574948980918768
PIGT,0.0690161948775988,0.0717245957932551,0.0473707957029739,0.18417778206366,0.154035682276081,0.172644238359691,0.144263202567192,0.186608047581446,0.16994132548546,0.0857681553005959,0.122232499891169,0.16618405394734,0.109342807289154,0.0826434854070356
AL031663.2,0.00117188811406401,0,0,0,0,0,0,0,0,0,0,0,0,0
WFDC3,0.00107933713425469,0,0,0,0,0,0,0,0,0,0,0,0,0
DNTTIP1,0.172675759903637,0.105007021686841,0.284295504527709,0.207359498096027,0.214049797956604,0.219513126307403,0.115489106157252,0.197185468199971,0.111894892874111,0.16933723655368,0.0548613628035406,0.0963526879218774,0.0782220196260326,0.18197865801909
UBE2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNX21,0,0.00977056289478463,0,0,0,0,0,0,0,0,0,0,0,0
ACOT8,0.0339225971171586,0.028906918940902,0.0672093314776234,0.0569334050198017,0.059316006921736,0.024540146349745,0,0.0256784321770274,0.099955576597946,0.0861670737044767,0.0196603806144157,0.0613944954935481,0,0.0193690616659004
ZSWIM3,0.0048583613683638,0.0107187491666583,0,0,0.0319114956462319,0.0110570963154304,0.0190241123447852,0.0234058798044661,0,0,0.0166700756532488,0,0.0407575759558925,0.0111111649864201
ZSWIM1,0.00266096855848816,0,0,0,0,0,0,0,0,0,0,0,0,0
NEURL2,0,0.00948309531254818,0,0,0,0,0,0,0.0504633204740007,0,0,0,0,0
CTSA,0.211918977040127,0.142990949185493,0.0650369390092666,0.36158672226483,0.06141425044318,0.217233573670444,0.155571705788833,0.0665231962775901,0.132070040376714,0.259737746553285,0.0888736905321088,0.150140555151071,0.0731684625342005,0.0533940285355922
